book_id,isbn,title,author,purchase_date,member_id
1,9783161484100,Book_1,Author_1,20/4/2006,1245
2,9783161484120,Book_2,Author_2,20/4/2009,0
3,9783161484120,Book_2,Author_2,20/4/2009,0
4,9783161484100,Book_1,Author_1,20/4/2006,0
5,9783161484120,Book_2,Author_2,20/4/2009,0
6,9783161484100,Book_1,Author_1,20/4/2006,0
7,9783161484105,Book_3,Author_3,20/4/2012,1234
8,9783161484105,Book_3,Author_3,20/4/2012,3989
9,9783161484345,Book_4,Author_4,20/4/2015,6183
10,9783161484105,Book_3,Author_3,20/4/2012,7945
